Num,Lat,Lon,Value
420,-7.75,-77.75,3
421,-7.25,-77.75,3
422,-6.75,-77.75,3
423,-6.25,-77.75,3
424,-5.75,-77.75,3
425,-5.25,-77.75,2
426,-4.75,-77.75,2
427,-4.25,-77.75,2
428,-3.75,-77.75,2
429,-3.25,-77.75,2
430,-2.75,-77.75,2
431,-2.25,-77.75,5
432,-1.75,-77.75,5
433,-1.25,-77.75,5
434,-0.75,-77.75,5
435,-0.25,-77.75,3
436,0.25,-77.75,3
437,0.75,-77.75,3
438,1.25,-77.75,4
439,1.75,-77.75,5
440,2.25,-77.75,5
441,2.75,-77.75,5
442,3.25,-77.75,5
444,4.25,-77.75,5
446,5.25,-77.75,5
447,5.75,-77.75,5
467,-12.25,-77.25,3
468,-11.75,-77.25,3
469,-11.25,-77.25,3
470,-10.75,-77.25,3
471,-10.25,-77.25,3
472,-9.75,-77.25,3
473,-9.25,-77.25,3
474,-8.75,-77.25,3
475,-8.25,-77.25,3
476,-7.75,-77.25,3
477,-7.25,-77.25,3
478,-6.75,-77.25,3
479,-6.25,-77.25,3
480,-5.75,-77.25,3
481,-5.25,-77.25,1
482,-4.75,-77.25,4
483,-4.25,-77.25,2
484,-3.75,-77.25,2
485,-3.25,-77.25,2
486,-2.75,-77.25,2
487,-2.25,-77.25,5
488,-1.75,-77.25,5
489,-1.25,-77.25,5
490,-0.75,-77.25,5
491,-0.25,-77.25,5
492,0.25,-77.25,2
493,0.75,-77.25,3
494,1.25,-77.25,3
495,1.75,-77.25,3
496,2.25,-77.25,4
497,2.75,-77.25,5
498,3.25,-77.25,5
499,3.75,-77.25,5
500,4.25,-77.25,5
501,4.75,-77.25,5
502,5.25,-77.25,5
503,5.75,-77.25,5
504,6.25,-77.25,5
521,-13.25,-76.75,3
522,-12.75,-76.75,3
523,-12.25,-76.75,3
524,-11.75,-76.75,3
525,-11.25,-76.75,3
526,-10.75,-76.75,3
527,-10.25,-76.75,3
528,-9.75,-76.75,3
529,-9.25,-76.75,3
530,-8.75,-76.75,1
531,-8.25,-76.75,1
532,-7.75,-76.75,1
533,-7.25,-76.75,3
534,-6.75,-76.75,3
535,-6.25,-76.75,3
536,-5.75,-76.75,3
537,-5.25,-76.75,4
538,-4.75,-76.75,4
539,-4.25,-76.75,2
540,-3.75,-76.75,2
541,-3.25,-76.75,2
542,-2.75,-76.75,2
543,-2.25,-76.75,5
544,-1.75,-76.75,5
545,-1.25,-76.75,5
546,-0.75,-76.75,5
547,-0.25,-76.75,5
548,0.25,-76.75,5
549,0.75,-76.75,5
550,1.25,-76.75,5
551,1.75,-76.75,3
552,2.25,-76.75,1
553,2.75,-76.75,4
554,3.25,-76.75,4
555,3.75,-76.75,5
556,4.25,-76.75,5
557,4.75,-76.75,5
558,5.25,-76.75,5
559,5.75,-76.75,5
560,6.25,-76.75,5
575,-14.25,-76.25,3
576,-13.75,-76.25,3
577,-13.25,-76.25,3
578,-12.75,-76.25,3
579,-12.25,-76.25,3
580,-11.75,-76.25,3
581,-11.25,-76.25,3
582,-10.75,-76.25,3
583,-10.25,-76.25,3
584,-9.75,-76.25,3
585,-9.25,-76.25,4
586,-8.75,-76.25,4
587,-8.25,-76.25,4
588,-7.75,-76.25,4
589,-7.25,-76.25,3
590,-6.75,-76.25,3
591,-6.25,-76.25,4
592,-5.75,-76.25,4
593,-5.25,-76.25,4
594,-4.75,-76.25,2
595,-4.25,-76.25,2
596,-3.75,-76.25,2
597,-3.25,-76.25,2
598,-2.75,-76.25,2
599,-2.25,-76.25,5
600,-1.75,-76.25,5
601,-1.25,-76.25,5
602,-0.75,-76.25,5
603,-0.25,-76.25,5
604,0.25,-76.25,5
605,0.75,-76.25,5
606,1.25,-76.25,5
607,1.75,-76.25,2
608,2.25,-76.25,3
609,2.75,-76.25,1
610,3.25,-76.25,1
611,3.75,-76.25,3
612,4.25,-76.25,3
613,4.75,-76.25,5
614,5.25,-76.25,5
615,5.75,-76.25,5
616,6.25,-76.25,5
630,-14.75,-75.75,3
631,-14.25,-75.75,3
632,-13.75,-75.75,3
633,-13.25,-75.75,3
634,-12.75,-75.75,3
635,-12.25,-75.75,3
636,-11.75,-75.75,3
637,-11.25,-75.75,3
638,-10.75,-75.75,1
639,-10.25,-75.75,1
640,-9.75,-75.75,1
641,-9.25,-75.75,4
642,-8.75,-75.75,4
643,-8.25,-75.75,4
644,-7.75,-75.75,1
645,-7.25,-75.75,3
